customer_id,customer_name,segment
CG-10008,Customer 8,Corporate
CG-10004,Customer 4,Home Office
CG-10059,Customer 59,Home Office
CG-10032,Customer 32,Consumer
CG-10043,Customer 43,Corporate
CG-10041,Customer 41,Consumer
CG-10051,Customer 51,Corporate
CG-10005,Customer 5,Home Office
CG-10011,Customer 11,Consumer
CG-10056,Customer 56,Home Office
CG-10026,Customer 26,Home Office
CG-10010,Customer 10,Home Office
CG-10055,Customer 55,Home Office
CG-10014,Customer 14,Corporate
CG-10031,Customer 31,Home Office
CG-10038,Customer 38,Consumer
CG-10006,Customer 6,Corporate
CG-10042,Customer 42,Home Office
CG-10020,Customer 20,Consumer
CG-10002,Customer 2,Consumer
CG-10024,Customer 24,Consumer
CG-10037,Customer 37,Corporate
CG-10046,Customer 46,Home Office
CG-10009,Customer 9,Home Office
CG-10017,Customer 17,Consumer
CG-10027,Customer 27,Home Office
CG-10003,Customer 3,Home Office
CG-10058,Customer 58,Home Office
CG-10029,Customer 29,Corporate
CG-10033,Customer 33,Corporate
CG-10054,Customer 54,Home Office
CG-10034,Customer 34,Home Office
CG-10035,Customer 35,Consumer
CG-10019,Customer 19,Consumer
CG-10045,Customer 45,Home Office
CG-10000,Customer 0,Home Office
CG-10040,Customer 40,Consumer
CG-10025,Customer 25,Corporate
CG-10016,Customer 16,Home Office
CG-10023,Customer 23,Corporate
CG-10053,Customer 53,Corporate
CG-10007,Customer 7,Consumer
CG-10044,Customer 44,Home Office
CG-10052,Customer 52,Home Office
CG-10018,Customer 18,Home Office
CG-10049,Customer 49,Consumer
CG-10013,Customer 13,Corporate
CG-10001,Customer 1,Home Office
CG-10021,Customer 21,Consumer
CG-10015,Customer 15,Consumer
CG-10036,Customer 36,Corporate
CG-10022,Customer 22,Home Office
CG-10047,Customer 47,Home Office
CG-10039,Customer 39,Consumer
CG-10012,Customer 12,Consumer
CG-10030,Customer 30,Consumer
CG-10050,Customer 50,Home Office
CG-10048,Customer 48,Home Office
CG-10028,Customer 28,Consumer
CG-10057,Customer 57,Home Office
