order_id,order_date,ship_date,ship_mode,customer_id,location_id
CA-2023-100000,2023-04-07,2023-04-11,First Class,CG-10008,1
CA-2024-100001,2024-08-20,2024-08-26,First Class,CG-10004,2
CA-2022-100002,2022-05-02,2022-05-07,Same Day,CG-10059,1
CA-2021-100003,2021-10-14,2021-10-16,Second Class,CG-10032,1
CA-2024-100004,2024-05-26,2024-06-01,Standard Class,CG-10043,3
CA-2022-100005,2022-08-25,2022-08-27,Standard Class,CG-10004,1
CA-2021-100006,2021-09-02,2021-09-04,First Class,CG-10059,4
CA-2021-100007,2021-01-24,2021-01-26,Second Class,CG-10041,5
CA-2021-100008,2021-09-26,2021-10-02,Second Class,CG-10051,6
CA-2021-100009,2021-02-04,2021-02-05,Standard Class,CG-10005,7
CA-2021-100010,2021-07-17,2021-07-21,First Class,CG-10059,1
CA-2021-100011,2021-01-26,2021-01-29,Second Class,CG-10011,2
CA-2022-100012,2022-10-30,2022-11-01,Same Day,CG-10056,7
CA-2023-100013,2023-11-12,2023-11-18,Second Class,CG-10026,5
CA-2022-100014,2022-02-10,2022-02-14,First Class,CG-10010,5
CA-2023-100015,2023-05-27,2023-05-29,Same Day,CG-10055,2
CA-2021-100016,2021-04-09,2021-04-12,Same Day,CG-10010,4
CA-2021-100017,2021-03-27,2021-03-31,Standard Class,CG-10014,5
CA-2022-100018,2022-05-26,2022-05-28,Second Class,CG-10031,2
CA-2023-100019,2023-06-20,2023-06-21,Second Class,CG-10038,6
CA-2021-100020,2021-04-26,2021-04-27,Second Class,CG-10006,4
CA-2024-100021,2024-02-03,2024-02-09,Second Class,CG-10042,2
CA-2023-100022,2023-04-07,2023-04-12,Second Class,CG-10020,3
CA-2022-100023,2022-07-01,2022-07-03,First Class,CG-10014,7
CA-2022-100024,2022-02-19,2022-02-22,First Class,CG-10002,8
CA-2023-100025,2023-08-01,2023-08-06,Same Day,CG-10024,3
CA-2023-100026,2023-11-15,2023-11-16,Second Class,CG-10037,2
CA-2023-100027,2023-11-24,2023-11-25,Second Class,CG-10038,8
CA-2023-100028,2023-08-28,2023-09-03,Standard Class,CG-10011,7
CA-2023-100029,2023-03-04,2023-03-06,Same Day,CG-10046,5
CA-2022-100030,2022-08-11,2022-08-17,Same Day,CG-10038,6
CA-2022-100031,2022-09-29,2022-10-02,Standard Class,CG-10005,4
CA-2021-100032,2021-07-02,2021-07-05,Second Class,CG-10011,5
CA-2021-100033,2021-04-05,2021-04-10,Standard Class,CG-10010,2
CA-2024-100034,2024-01-11,2024-01-14,Standard Class,CG-10009,1
CA-2024-100035,2024-04-28,2024-04-29,Second Class,CG-10017,6
CA-2024-100036,2024-06-19,2024-06-20,First Class,CG-10027,1
CA-2022-100037,2022-06-25,2022-06-30,Standard Class,CG-10003,2
CA-2021-100038,2021-03-24,2021-03-30,Second Class,CG-10037,8
CA-2022-100039,2022-05-27,2022-05-28,Standard Class,CG-10024,3
CA-2022-100040,2022-09-24,2022-09-27,First Class,CG-10014,3
CA-2023-100041,2023-08-01,2023-08-02,Second Class,CG-10058,4
CA-2023-100042,2023-10-10,2023-10-14,Standard Class,CG-10011,5
CA-2024-100043,2024-08-05,2024-08-10,Standard Class,CG-10029,7
CA-2024-100044,2024-04-01,2024-04-02,First Class,CG-10033,6
CA-2024-100045,2024-08-03,2024-08-09,First Class,CG-10054,1
CA-2021-100046,2021-04-01,2021-04-06,Second Class,CG-10034,4
CA-2022-100047,2022-05-25,2022-05-30,Standard Class,CG-10043,6
CA-2021-100048,2021-01-30,2021-02-02,Same Day,CG-10042,5
CA-2021-100049,2021-04-05,2021-04-09,Second Class,CG-10035,7
CA-2023-100050,2023-08-04,2023-08-06,Second Class,CG-10032,7
CA-2021-100051,2021-03-13,2021-03-18,First Class,CG-10019,5
CA-2022-100052,2022-04-02,2022-04-05,Second Class,CG-10045,8
CA-2024-100053,2024-07-08,2024-07-13,Standard Class,CG-10056,8
CA-2023-100054,2023-07-25,2023-07-29,Standard Class,CG-10051,7
CA-2023-100055,2023-10-09,2023-10-11,Second Class,CG-10002,7
CA-2023-100056,2023-03-20,2023-03-22,Same Day,CG-10000,4
CA-2022-100057,2022-03-05,2022-03-08,Second Class,CG-10058,2
CA-2021-100058,2021-09-15,2021-09-17,Standard Class,CG-10043,4
CA-2022-100059,2022-02-19,2022-02-21,Same Day,CG-10040,8
CA-2021-100060,2021-05-18,2021-05-23,Same Day,CG-10043,4
CA-2024-100061,2024-05-31,2024-06-02,First Class,CG-10025,2
CA-2022-100062,2022-04-23,2022-04-26,First Class,CG-10016,8
CA-2024-100063,2024-07-21,2024-07-25,Standard Class,CG-10023,6
CA-2023-100064,2023-03-30,2023-04-05,Standard Class,CG-10002,3
CA-2023-100065,2023-02-14,2023-02-16,First Class,CG-10009,8
CA-2022-100066,2022-01-02,2022-01-06,Same Day,CG-10029,3
CA-2022-100067,2022-10-28,2022-11-03,Same Day,CG-10053,5
CA-2022-100068,2022-04-09,2022-04-15,First Class,CG-10005,2
CA-2023-100069,2023-10-09,2023-10-13,Standard Class,CG-10034,4
CA-2024-100070,2024-01-18,2024-01-24,First Class,CG-10006,7
CA-2021-100071,2021-08-11,2021-08-15,Second Class,CG-10053,1
CA-2022-100072,2022-04-02,2022-04-08,Second Class,CG-10007,1
CA-2022-100073,2022-06-21,2022-06-23,Second Class,CG-10044,1
CA-2023-100074,2023-03-16,2023-03-20,Standard Class,CG-10052,4
CA-2021-100075,2021-03-21,2021-03-23,First Class,CG-10000,2
CA-2021-100076,2021-10-19,2021-10-21,Standard Class,CG-10004,8
CA-2021-100077,2021-03-05,2021-03-07,Same Day,CG-10014,6
CA-2021-100078,2021-09-24,2021-09-26,Second Class,CG-10031,2
CA-2023-100079,2023-08-28,2023-09-03,First Class,CG-10031,4
CA-2021-100080,2021-09-01,2021-09-05,Second Class,CG-10035,3
CA-2022-100081,2022-03-26,2022-03-27,First Class,CG-10026,1
CA-2021-100082,2021-10-21,2021-10-22,Same Day,CG-10052,6
CA-2022-100083,2022-09-20,2022-09-25,First Class,CG-10018,7
CA-2023-100084,2023-08-07,2023-08-08,First Class,CG-10053,1
CA-2022-100085,2022-05-03,2022-05-05,Same Day,CG-10016,1
CA-2021-100086,2021-04-15,2021-04-21,Same Day,CG-10056,2
CA-2021-100087,2021-07-22,2021-07-26,Second Class,CG-10059,4
CA-2022-100088,2022-06-29,2022-07-01,Same Day,CG-10056,6
CA-2023-100089,2023-06-10,2023-06-16,Standard Class,CG-10049,1
CA-2024-100090,2024-06-26,2024-07-01,Standard Class,CG-10031,7
CA-2022-100091,2022-01-01,2022-01-07,First Class,CG-10026,7
CA-2023-100092,2023-08-03,2023-08-09,First Class,CG-10009,5
CA-2021-100093,2021-04-17,2021-04-23,Second Class,CG-10013,2
CA-2022-100094,2022-07-20,2022-07-21,Second Class,CG-10033,6
CA-2021-100095,2021-10-12,2021-10-16,Second Class,CG-10052,4
CA-2022-100096,2022-02-14,2022-02-16,First Class,CG-10058,7
CA-2021-100097,2021-10-01,2021-10-03,Same Day,CG-10054,7
CA-2024-100098,2024-03-04,2024-03-09,Standard Class,CG-10001,3
CA-2021-100099,2021-01-12,2021-01-16,Same Day,CG-10021,7
CA-2021-100100,2021-12-25,2021-12-29,Second Class,CG-10000,1
CA-2021-100101,2021-06-27,2021-07-02,First Class,CG-10015,4
CA-2022-100102,2022-04-08,2022-04-13,Same Day,CG-10004,6
CA-2024-100103,2024-09-22,2024-09-23,Same Day,CG-10016,1
CA-2022-100104,2022-12-15,2022-12-17,First Class,CG-10044,8
CA-2024-100105,2024-04-27,2024-04-29,Standard Class,CG-10042,7
CA-2022-100106,2022-01-13,2022-01-19,Same Day,CG-10037,1
CA-2022-100107,2022-09-19,2022-09-22,Same Day,CG-10015,7
CA-2022-100108,2022-10-10,2022-10-15,Second Class,CG-10017,4
CA-2022-100109,2022-01-05,2022-01-09,Same Day,CG-10036,6
CA-2024-100110,2024-02-22,2024-02-24,First Class,CG-10053,3
CA-2023-100111,2023-08-01,2023-08-03,Second Class,CG-10022,7
CA-2023-100112,2023-04-09,2023-04-14,First Class,CG-10003,3
CA-2022-100113,2022-04-11,2022-04-14,Standard Class,CG-10044,3
CA-2021-100114,2021-11-17,2021-11-19,Standard Class,CG-10049,4
CA-2022-100115,2022-06-29,2022-07-05,Standard Class,CG-10049,7
CA-2023-100116,2023-11-17,2023-11-22,Same Day,CG-10042,6
CA-2021-100117,2021-04-15,2021-04-21,Same Day,CG-10017,5
CA-2023-100118,2023-01-30,2023-02-03,Same Day,CG-10037,8
