product_id,product_name,subcategory_id
FUR-TA-2,Tables Product 2,1
OFF-ST-2,Storage Product 2,2
FUR-FU-1,Furnishings Product 1,3
TEC-CO-3,Copiers Product 3,4
FUR-BO-4,Bookcases Product 4,5
FUR-BO-3,Bookcases Product 3,5
TEC-PH-4,Phones Product 4,6
FUR-CH-3,Chairs Product 3,7
TEC-MA-1,Machines Product 1,8
FUR-BO-1,Bookcases Product 1,5
TEC-PH-0,Phones Product 0,6
TEC-AC-0,Accessories Product 0,9
OFF-PA-3,Paper Product 3,10
TEC-MA-0,Machines Product 0,8
TEC-AC-2,Accessories Product 2,9
FUR-CH-4,Chairs Product 4,7
FUR-TA-4,Tables Product 4,1
TEC-AC-4,Accessories Product 4,9
TEC-MA-4,Machines Product 4,8
TEC-MA-3,Machines Product 3,8
FUR-CH-0,Chairs Product 0,7
TEC-PH-1,Phones Product 1,6
FUR-FU-4,Furnishings Product 4,3
OFF-AR-3,Art Product 3,11
OFF-BI-3,Binders Product 3,12
OFF-BI-4,Binders Product 4,12
TEC-AC-3,Accessories Product 3,9
FUR-FU-2,Furnishings Product 2,3
OFF-PA-2,Paper Product 2,10
TEC-CO-0,Copiers Product 0,4
FUR-FU-0,Furnishings Product 0,3
OFF-ST-1,Storage Product 1,2
OFF-BI-1,Binders Product 1,12
OFF-BI-2,Binders Product 2,12
FUR-BO-0,Bookcases Product 0,5
OFF-BI-0,Binders Product 0,12
OFF-ST-0,Storage Product 0,2
FUR-TA-1,Tables Product 1,1
FUR-FU-3,Furnishings Product 3,3
TEC-MA-2,Machines Product 2,8
FUR-CH-1,Chairs Product 1,7
OFF-AR-2,Art Product 2,11
FUR-CH-2,Chairs Product 2,7
OFF-PA-1,Paper Product 1,10
FUR-BO-2,Bookcases Product 2,5
OFF-AR-0,Art Product 0,11
OFF-PA-0,Paper Product 0,10
OFF-AR-1,Art Product 1,11
TEC-PH-2,Phones Product 2,6
OFF-PA-4,Paper Product 4,10
FUR-TA-3,Tables Product 3,1
FUR-TA-0,Tables Product 0,1
OFF-ST-4,Storage Product 4,2
TEC-CO-2,Copiers Product 2,4
TEC-PH-3,Phones Product 3,6
TEC-CO-4,Copiers Product 4,4
OFF-AR-4,Art Product 4,11
OFF-ST-3,Storage Product 3,2
TEC-CO-1,Copiers Product 1,4
TEC-AC-1,Accessories Product 1,9
