sales_id,order_id,product_id,sales,quantity,discount,profit
1,CA-2023-100000,FUR-TA-2,32.66,2,0.1,7.51
2,CA-2024-100001,OFF-ST-2,301.5,2,0.2,29.06
3,CA-2022-100002,FUR-FU-1,539.58,4,0.1,115.66
4,CA-2021-100003,TEC-CO-3,392.06,7,0.2,35.84
5,CA-2024-100004,FUR-BO-4,111.72,4,0.3,0.0
6,CA-2022-100005,TEC-CO-3,541.96,1,0.0,183.89
7,CA-2021-100006,FUR-BO-3,283.14,4,0.2,32.12
8,CA-2021-100007,TEC-PH-4,797.18,1,0.0,235.26
9,CA-2021-100008,FUR-CH-3,474.43,3,0.0,102.78
10,CA-2021-100009,TEC-MA-1,378.38,3,0.3,0.0
11,CA-2021-100010,FUR-BO-1,717.65,1,0.2,76.33
12,CA-2021-100011,TEC-PH-0,584.42,5,0.1,128.23
13,CA-2022-100012,FUR-BO-3,782.86,7,0.1,115.63
14,CA-2023-100013,TEC-MA-1,63.28,4,0.0,12.75
15,CA-2022-100014,TEC-AC-0,532.57,5,0.3,0.0
16,CA-2023-100015,OFF-PA-3,360.07,4,0.0,121.66
17,CA-2021-100016,TEC-MA-0,138.81,7,0.2,8.34
18,CA-2021-100017,TEC-AC-2,512.73,2,0.3,0.0
19,CA-2022-100018,FUR-CH-4,40.52,1,0.2,3.6
20,CA-2023-100019,FUR-TA-4,113.22,2,0.1,17.59
21,CA-2021-100020,TEC-AC-4,453.59,7,0.2,51.49
22,CA-2024-100021,TEC-MA-4,123.7,6,0.2,6.61
23,CA-2023-100022,TEC-MA-3,610.73,2,0.2,64.3
24,CA-2022-100023,FUR-CH-0,235.8,4,0.1,43.47
25,CA-2022-100024,FUR-BO-4,590.4,3,0.1,125.07
26,CA-2023-100025,TEC-PH-1,213.52,3,0.2,12.11
27,CA-2023-100026,FUR-FU-4,132.38,6,0.2,13.88
28,CA-2023-100027,OFF-AR-3,519.44,7,0.1,106.47
29,CA-2023-100028,OFF-BI-3,555.42,6,0.2,49.53
30,CA-2023-100029,FUR-BO-1,448.5,6,0.0,133.73
31,CA-2022-100030,TEC-MA-3,95.56,7,0.2,7.26
32,CA-2022-100031,TEC-PH-4,683.1,6,0.1,127.31
33,CA-2021-100032,OFF-BI-4,115.96,4,0.3,0.0
34,CA-2021-100033,TEC-AC-3,779.82,3,0.1,186.17
35,CA-2024-100034,OFF-ST-2,173.81,5,0.3,0.0
36,CA-2024-100035,FUR-FU-2,354.59,5,0.3,0.0
37,CA-2024-100036,TEC-CO-3,296.24,4,0.3,0.0
38,CA-2022-100037,FUR-BO-4,491.83,7,0.2,26.14
39,CA-2021-100038,OFF-PA-2,298.43,7,0.2,34.33
40,CA-2022-100039,TEC-CO-0,464.41,7,0.0,134.36
41,CA-2022-100040,TEC-MA-3,102.73,7,0.0,34.19
42,CA-2023-100041,FUR-FU-1,154.68,4,0.1,31.07
43,CA-2023-100042,FUR-FU-4,364.71,7,0.2,22.48
44,CA-2024-100043,FUR-FU-0,272.25,4,0.1,49.87
45,CA-2024-100044,OFF-BI-3,319.13,5,0.3,0.0
46,CA-2024-100045,OFF-ST-1,387.32,7,0.3,0.0
47,CA-2021-100046,OFF-BI-3,204.36,1,0.0,50.67
48,CA-2022-100047,OFF-ST-1,138.66,5,0.2,12.68
49,CA-2021-100048,OFF-ST-1,631.03,1,0.0,98.27
50,CA-2021-100049,FUR-CH-0,306.05,1,0.0,82.14
51,CA-2023-100050,TEC-AC-3,466.64,1,0.2,35.9
52,CA-2021-100051,TEC-AC-0,503.09,6,0.2,58.87
53,CA-2022-100052,OFF-BI-1,179.89,7,0.0,55.16
54,CA-2024-100053,FUR-BO-4,22.41,7,0.0,5.3
55,CA-2023-100054,TEC-PH-1,611.18,1,0.2,59.58
56,CA-2023-100055,OFF-BI-2,330.18,1,0.2,35.65
57,CA-2023-100056,FUR-FU-1,26.74,6,0.0,4.7
58,CA-2022-100057,OFF-AR-3,253.48,7,0.2,14.52
59,CA-2021-100058,OFF-BI-3,728.48,2,0.2,50.24
